Epoch,Train Duration,Train it/s,Train loss,Train accuracy,Test Duration,Test it/s,Test loss,Test accuracy
1.0,43.0,1.11,1.0574,0.6779,9.0,1.44,249.4246,0.6
2.0,41.0,1.17,1.3531,0.6662,9.0,1.36,3.0101,0.6935
3.0,42.0,1.15,0.6196,0.6883,9.0,1.37,0.6397,0.7377
4.0,42.0,1.16,0.5644,0.7265,8.0,1.55,0.6493,0.6909
5.0,42.0,1.15,0.5059,0.7518,9.0,1.36,0.489,0.7688
6.0,42.0,1.16,0.4427,0.8023,9.0,1.37,0.4514,0.8078
7.0,42.0,1.15,0.4565,0.792,9.0,1.36,0.531,0.7948
8.0,42.0,1.15,0.4569,0.8004,8.0,1.53,1.1828,0.6857
9.0,42.0,1.15,0.4445,0.792,9.0,1.38,0.3971,0.8286
10.0,42.0,1.16,0.4528,0.7933,9.0,1.36,0.4723,0.7662
11.0,42.0,1.15,0.4176,0.8023,9.0,1.39,0.4202,0.8234
12.0,42.0,1.15,0.4116,0.8095,8.0,1.52,0.3987,0.8312
13.0,42.0,1.15,0.4215,0.8172,9.0,1.38,0.4172,0.8052
14.0,42.0,1.15,0.3942,0.8211,9.0,1.35,0.3718,0.8364
15.0,42.0,1.14,0.393,0.8276,9.0,1.36,0.4251,0.8078
16.0,42.0,1.15,0.3813,0.8328,8.0,1.49,0.4079,0.8156
17.0,43.0,1.13,0.4133,0.814,9.0,1.43,0.3599,0.839
18.0,42.0,1.15,0.3569,0.8496,9.0,1.36,0.368,0.8364
19.0,42.0,1.15,0.365,0.8263,9.0,1.36,0.3575,0.8442
20.0,42.0,1.16,0.3767,0.8244,8.0,1.49,0.3742,0.8338
21.0,42.0,1.14,0.3543,0.8509,9.0,1.42,0.3788,0.8234
22.0,42.0,1.16,0.3325,0.8665,9.0,1.37,0.4078,0.8208
23.0,42.0,1.16,0.328,0.8581,9.0,1.37,0.441,0.8286
24.0,42.0,1.15,0.3364,0.8607,8.0,1.53,0.3856,0.8182
25.0,42.0,1.15,0.3463,0.8458,8.0,1.45,0.3863,0.8208
26.0,42.0,1.15,0.3504,0.8471,9.0,1.36,0.3643,0.8468
27.0,42.0,1.15,0.3465,0.8464,9.0,1.36,0.3775,0.826
28.0,42.0,1.16,0.3405,0.8509,8.0,1.52,0.3539,0.8442
29.0,42.0,1.15,0.3226,0.8568,9.0,1.41,0.3789,0.8416
30.0,42.0,1.15,0.3217,0.8522,9.0,1.32,0.4512,0.8234
31.0,42.0,1.15,0.3362,0.8639,9.0,1.35,0.4088,0.8234
32.0,42.0,1.16,0.3457,0.8471,8.0,1.54,0.4081,0.8078
33.0,42.0,1.15,0.3688,0.8302,9.0,1.43,0.372,0.8338
34.0,42.0,1.16,0.3626,0.8373,9.0,1.35,0.389,0.813
35.0,42.0,1.16,0.3519,0.8406,9.0,1.35,0.4355,0.8052
36.0,42.0,1.15,0.3466,0.8445,8.0,1.54,0.407,0.826
37.0,42.0,1.15,0.3266,0.8432,9.0,1.37,0.3689,0.8545
38.0,42.0,1.14,0.3245,0.8548,9.0,1.35,0.4181,0.8052
39.0,42.0,1.15,0.3298,0.8587,9.0,1.36,0.3314,0.8545
40.0,42.0,1.15,0.3371,0.8568,8.0,1.52,0.3303,0.8675
41.0,42.0,1.15,0.3445,0.8503,9.0,1.38,0.3865,0.8442
42.0,42.0,1.15,0.34,0.8477,9.0,1.36,0.3425,0.8468
43.0,42.0,1.17,0.3172,0.8684,9.0,1.38,0.3572,0.8494
44.0,42.0,1.16,0.3196,0.8658,8.0,1.52,0.3606,0.8494
45.0,42.0,1.16,0.2983,0.8645,9.0,1.35,0.3691,0.8286
46.0,42.0,1.14,0.3164,0.8542,9.0,1.37,0.4291,0.8182
47.0,42.0,1.16,0.3258,0.8594,9.0,1.39,0.3573,0.8416
48.0,42.0,1.15,0.3169,0.8678,8.0,1.55,0.3638,0.8571
49.0,42.0,1.16,0.3324,0.8587,9.0,1.36,0.3755,0.8519
50.0,42.0,1.16,0.307,0.871,9.0,1.35,0.3594,0.8623
51.0,42.0,1.15,0.3095,0.86,9.0,1.41,0.3644,0.8416
52.0,42.0,1.15,0.3099,0.8587,8.0,1.51,0.3628,0.839
53.0,42.0,1.16,0.3277,0.8555,9.0,1.37,0.3977,0.8312
54.0,42.0,1.15,0.3369,0.8516,9.0,1.36,0.3273,0.8779
55.0,42.0,1.15,0.3164,0.8658,8.0,1.46,0.402,0.8234
56.0,43.0,1.14,0.3198,0.8691,8.0,1.48,0.3386,0.8571
57.0,42.0,1.15,0.3147,0.8542,9.0,1.35,0.3864,0.826
58.0,42.0,1.17,0.3049,0.862,9.0,1.36,0.376,0.8182
