Epoch,Train Duration,Train it/s,Train loss,Train accuracy,Test Duration,Test it/s,Test loss,Test accuracy
1.0,33.0,1.44,0.871,0.6468,8.0,1.42,9.1403,0.6745
2.0,31.0,1.53,0.7412,0.7403,8.0,1.42,1.2762,0.7087
3.0,32.0,1.51,0.6269,0.7591,8.0,1.43,3.8116,0.5564
4.0,32.0,1.52,1.0427,0.7149,8.0,1.48,1.3459,0.6509
5.0,32.0,1.51,0.5372,0.7643,8.0,1.5,0.7243,0.6352
6.0,32.0,1.5,0.5299,0.7727,7.0,1.55,0.5393,0.748
7.0,32.0,1.51,0.4486,0.7948,7.0,1.55,0.6551,0.811
8.0,32.0,1.5,0.589,0.7857,7.0,1.56,0.6576,0.811
9.0,33.0,1.48,0.5735,0.8071,7.0,1.56,0.6148,0.6798
10.0,32.0,1.51,0.4393,0.8156,7.0,1.52,0.8684,0.748
11.0,32.0,1.51,0.548,0.8006,8.0,1.48,0.4499,0.811
12.0,31.0,1.54,0.4382,0.8253,8.0,1.41,0.5739,0.7297
13.0,31.0,1.55,0.4176,0.8084,8.0,1.36,0.4763,0.8005
14.0,31.0,1.55,0.3695,0.8312,8.0,1.36,0.4804,0.811
15.0,31.0,1.54,0.3802,0.837,8.0,1.35,0.6317,0.7848
16.0,32.0,1.52,0.5594,0.826,8.0,1.36,0.483,0.7848
17.0,31.0,1.53,0.4118,0.8325,8.0,1.34,0.5563,0.7822
18.0,32.0,1.53,0.3644,0.85,8.0,1.37,0.5619,0.7822
19.0,31.0,1.54,0.3751,0.8422,8.0,1.36,0.5108,0.7848
20.0,31.0,1.53,0.3266,0.8539,8.0,1.35,0.4781,0.8031
21.0,31.0,1.53,0.3596,0.8468,8.0,1.35,0.4653,0.7874
22.0,31.0,1.54,0.4112,0.8519,8.0,1.36,0.527,0.8084
23.0,31.0,1.53,0.3578,0.8571,9.0,1.33,0.5377,0.8136
24.0,31.0,1.55,0.3447,0.8448,8.0,1.34,0.488,0.8268
25.0,32.0,1.51,0.341,0.8623,9.0,1.33,0.5854,0.7244
26.0,33.0,1.47,0.5196,0.7721,9.0,1.29,0.5301,0.7822
27.0,33.0,1.48,0.4162,0.8201,9.0,1.32,0.463,0.8163
28.0,31.0,1.53,0.4153,0.8201,9.0,1.31,0.5379,0.7848
29.0,32.0,1.51,0.3935,0.8169,8.0,1.37,0.5295,0.7664
30.0,31.0,1.54,0.3688,0.839,8.0,1.36,0.5458,0.8189
31.0,32.0,1.53,0.3753,0.8422,8.0,1.36,0.4026,0.8215
32.0,31.0,1.54,0.3338,0.8597,8.0,1.39,0.5101,0.7375
33.0,31.0,1.55,0.4037,0.8299,8.0,1.37,0.4974,0.7507
34.0,31.0,1.56,0.3789,0.8299,8.0,1.4,0.4877,0.811
35.0,31.0,1.57,0.3756,0.8422,8.0,1.39,0.4649,0.79
36.0,31.0,1.55,0.3541,0.8461,8.0,1.39,0.4905,0.8136
37.0,31.0,1.55,0.3516,0.8506,8.0,1.47,0.4355,0.8084
38.0,31.0,1.54,0.3492,0.8416,7.0,1.51,0.4404,0.832
39.0,32.0,1.52,0.3258,0.8558,7.0,1.55,0.4258,0.8399
40.0,33.0,1.48,0.3233,0.8669,7.0,1.55,0.4139,0.8294
41.0,32.0,1.49,0.3366,0.8539,7.0,1.55,0.3982,0.8189
42.0,32.0,1.51,0.3265,0.8558,7.0,1.57,0.4376,0.79
43.0,32.0,1.49,0.3265,0.8578,7.0,1.58,0.4673,0.8005
