Epoch,Train Duration,Train it/s,Train loss,Train accuracy,Test Duration,Test it/s,Test loss,Test accuracy
1.0,43.0,1.11,5.9669,0.5453,8.0,1.48,25.5114,0.5979
2.0,41.0,1.15,2.0165,0.5917,9.0,1.29,0.9546,0.5979
3.0,41.0,1.17,1.4753,0.5877,9.0,1.26,0.6822,0.5979
4.0,41.0,1.15,0.8118,0.6282,8.0,1.47,1.9958,0.5822
5.0,41.0,1.15,0.8914,0.6491,9.0,1.25,0.6116,0.7363
6.0,42.0,1.14,0.6836,0.6869,9.0,1.33,0.8009,0.4569
7.0,42.0,1.14,0.5952,0.7182,9.0,1.29,0.6302,0.6292
8.0,41.0,1.15,0.6383,0.7117,9.0,1.23,0.5717,0.6762
9.0,42.0,1.14,0.5558,0.7423,8.0,1.46,0.587,0.7023
10.0,41.0,1.16,0.5826,0.7495,9.0,1.25,0.4947,0.7728
11.0,40.0,1.18,0.5595,0.7489,9.0,1.21,0.7981,0.5144
12.0,42.0,1.14,0.5639,0.7384,8.0,1.43,0.7673,0.6919
13.0,41.0,1.14,0.5073,0.7697,9.0,1.25,1.0996,0.6005
14.0,41.0,1.16,0.5464,0.7567,8.0,1.36,0.4955,0.7598
15.0,41.0,1.14,0.5056,0.7632,8.0,1.37,0.5069,0.7493
16.0,41.0,1.15,0.4806,0.7697,9.0,1.25,0.6037,0.6893
17.0,41.0,1.16,0.5124,0.7586,8.0,1.42,0.7397,0.6397
18.0,41.0,1.14,0.5041,0.7489,8.0,1.34,0.4799,0.7624
19.0,41.0,1.16,0.461,0.7691,9.0,1.25,0.5312,0.7493
20.0,42.0,1.13,0.4469,0.7926,8.0,1.44,0.5311,0.7258
21.0,42.0,1.14,0.4575,0.7847,9.0,1.23,0.4787,0.7598
22.0,41.0,1.16,0.4422,0.7913,9.0,1.3,0.5211,0.7572
23.0,41.0,1.15,0.4397,0.7939,8.0,1.46,0.5814,0.7023
24.0,42.0,1.14,0.447,0.7873,9.0,1.23,0.6256,0.6475
25.0,42.0,1.14,0.4183,0.7939,8.0,1.37,0.4419,0.8016
26.0,42.0,1.12,0.4631,0.773,9.0,1.27,0.5645,0.6919
27.0,41.0,1.16,0.4425,0.7984,9.0,1.24,0.474,0.7859
28.0,42.0,1.13,0.4302,0.8037,8.0,1.42,0.6075,0.6736
29.0,42.0,1.12,0.4409,0.8004,9.0,1.23,0.6534,0.7441
30.0,42.0,1.12,0.4547,0.7893,8.0,1.4,0.4571,0.7781
